N,P,K,temperature,humidity,ph,rainfall,label
22,59,23,27,51,4,36.5,mothbeans
104,94,51,27,83,5,101.35,banana
110,86,54,29,78,5,96.05,banana
4,72,20,16,21,5,67.58,kidneybeans
28,58,81,17,16,6,93.35,chickpea
61,52,43,26,81,6,220.94,rice
71,52,17,25,56,5,78.62,maize
18,21,34,23,95,6,109.91,pomegranate
40,30,35,20,91,6,104.44,pomegranate
21,42,21,25,56,7,49.03,mothbeans
8,25,35,18,87,6,102.69,pomegranate
89,45,41,24,81,7,248.18,rice
38,57,82,17,15,5,68.36,chickpea
30,60,82,19,19,8,90.82,chickpea
11,31,26,35,51,5,101.57,mango
99,25,51,29,94,6,21.61,muskmelon
37,74,13,25,18,5,60.93,kidneybeans
82,21,55,25,81,6,54.82,watermelon
20,45,22,29,89,6,54.96,mungbean
24,58,21,21,20,5,132.68,kidneybeans
33,71,85,20,13,6,92.87,chickpea
11,25,29,27,48,6,90.93,mango
8,55,17,18,24,5,76.21,kidneybeans
68,52,15,22,64,5,87.56,maize
59,58,36,26,79,6,171.19,jute
62,48,20,21,60,6,95.71,maize
55,57,48,31,92,6,66.06,papaya
93,56,42,23,82,7,192.98,rice
80,56,34,23,72,7,173.91,jute
84,44,21,21,61,5,107.27,maize
28,68,19,34,61,7,72.43,blackgram
67,46,41,23,80,5,263.63,rice
89,56,41,26,73,7,176.0,jute
62,40,44,25,87,7,198.79,jute
25,40,21,27,81,6,44.18,mungbean
82,78,46,25,84,5,110.44,banana
111,5,53,27,90,6,24.82,muskmelon
18,14,32,26,99,5,217.45,coconut
107,38,29,26,57,6,145.11,coffee
0,65,24,28,62,7,53.15,lentil
1,124,199,23,93,5,112.67,apple
26,10,33,28,96,6,198.82,coconut
84,51,35,22,80,6,197.98,rice
99,41,36,24,82,6,182.56,rice
54,61,78,17,16,7,79.25,chickpea
32,68,52,32,92,6,248.86,papaya
15,14,8,10,90,6,119.39,orange
91,41,37,24,83,6,192.23,jute
35,134,205,9,82,5,65.34,grapes
86,94,48,28,78,6,109.15,banana
75,41,35,24,78,6,166.64,jute
89,57,43,26,73,6,177.22,jute
4,19,40,18,92,5,107.01,pomegranate
36,19,32,27,50,4,92.37,mango
27,72,17,28,57,6,120.74,pigeonpeas
30,120,200,38,82,6,65.7,grapes
26,64,22,18,18,5,141.73,kidneybeans
68,57,41,26,80,5,181.52,rice
9,60,21,32,57,6,63.81,mothbeans
114,80,56,26,83,5,93.9,banana
11,20,39,19,86,6,111.02,pomegranate
110,39,25,22,77,7,75.14,cotton
35,6,31,26,97,5,172.95,coconut
38,29,8,31,91,7,108.75,orange
83,41,43,21,82,6,233.11,rice
101,80,51,27,76,6,111.85,banana
89,25,54,24,85,6,48.99,watermelon
12,74,23,24,61,6,43.4,lentil
33,138,198,22,90,6,122.74,apple
59,55,38,25,89,7,151.62,jute
14,40,15,28,88,7,35.89,mungbean
67,58,39,25,80,5,220.12,rice
67,45,39,22,81,7,260.34,rice
60,56,45,22,82,7,264.21,rice
5,59,15,18,20,5,134.18,kidneybeans
11,71,19,24,60,7,42.2,lentil
59,55,79,20,16,8,82.25,chickpea
39,24,31,33,53,4,98.68,mango
102,73,54,26,84,5,111.02,banana
6,9,12,31,90,7,109.69,orange
117,30,50,24,87,6,46.59,watermelon
19,139,201,19,83,5,66.44,grapes
23,7,34,26,91,5,134.13,coconut
11,38,20,28,62,8,68.49,mothbeans
6,32,28,29,49,6,92.97,mango
0,76,16,28,51,6,147.06,pigeonpeas
35,63,76,17,17,7,90.82,chickpea
93,40,17,25,66,6,104.39,maize
99,57,38,24,81,6,156.64,jute
20,8,13,25,95,7,118.29,orange
30,30,35,25,95,6,165.81,coconut
98,35,18,23,74,6,91.76,maize
93,55,43,23,81,7,195.63,rice
31,69,21,20,45,6,193.93,pigeonpeas
73,45,21,24,73,6,96.59,maize
99,56,40,26,82,7,175.06,jute
22,23,31,28,46,5,92.18,mango
85,21,52,29,90,6,23.7,muskmelon
72,43,34,25,83,5,195.52,rice
81,41,38,22,83,7,200.91,rice
39,36,22,29,60,9,34.03,mothbeans
11,45,18,28,44,3,44.95,mothbeans
19,79,19,20,67,6,42.9,lentil
120,48,16,22,75,7,71.85,cotton
98,44,21,25,74,6,107.49,maize
90,50,39,20,84,6,230.46,rice
25,70,16,19,18,5,106.36,kidneybeans
27,72,17,29,57,6,122.81,pigeonpeas
106,35,21,25,75,6,62.04,cotton
25,70,23,31,48,7,168.1,pigeonpeas
7,57,19,29,35,6,188.04,pigeonpeas
40,78,18,19,21,5,81.55,kidneybeans
19,26,29,26,98,5,166.57,coconut
27,73,79,19,15,7,82.7,chickpea
37,17,39,24,94,6,110.23,pomegranate
29,121,196,22,94,6,123.6,apple
32,79,22,27,63,5,54.38,lentil
9,60,21,29,67,7,40.37,lentil
87,54,43,25,84,6,234.08,rice
34,21,42,18,89,6,111.02,pomegranate
35,61,20,34,39,5,169.41,pigeonpeas
19,66,26,17,18,5,144.37,kidneybeans
91,47,36,25,72,5,152.33,jute
82,41,41,20,82,6,232.58,rice
